Month,Temperature,Season
6,30.82,Summer
6,37.72,Summer
5,31.04,Summer
8,30.19,Summer
5,30.8,Summer
6,25.58,Summer
8,27.24,Summer
8,31.9,Summer
8,33.64,Summer
7,34.19,Summer
6,28.6,Summer
7,39.6,Summer
6,28.68,Summer
7,39.12,Summer
9,32.79,Summer
9,25.53,Summer
9,32.31,Summer
5,33.6,Summer
7,34.16,Summer
7,36.78,Summer
9,32.46,Summer
8,39.79,Summer
7,30.13,Summer
5,32.82,Summer
6,27.23,Summer
8,34.11,Summer
9,33.58,Summer
6,30.82,Summer
5,28.52,Summer
8,35.34,Summer
8,35.85,Summer
8,27.14,Summer
5,39.8,Summer
7,39.55,Summer
7,28.0,Summer
5,35.98,Summer
6,39.32,Summer
8,25.3,Summer
7,38.29,Summer
5,31.64,Summer
9,36.88,Summer
9,33.82,Summer
9,25.01,Summer
8,39.18,Summer
9,30.51,Summer
7,38.58,Summer
7,34.82,Summer
9,33.54,Summer
7,36.89,Summer
6,36.73,Summer
7,29.52,Summer
8,37.68,Summer
9,37.44,Summer
6,32.06,Summer
8,28.36,Summer
7,31.4,Summer
7,34.42,Summer
7,36.97,Summer
7,31.44,Summer
5,28.05,Summer
8,31.07,Summer
7,25.06,Summer
7,28.26,Summer
7,26.06,Summer
5,38.0,Summer
9,30.47,Summer
6,29.76,Summer
8,33.42,Summer
8,26.82,Summer
7,32.28,Summer
5,37.31,Summer
7,26.53,Summer
9,25.81,Summer
6,27.87,Summer
9,35.39,Summer
5,27.6,Summer
9,28.3,Summer
5,38.59,Summer
8,26.79,Summer
6,33.86,Summer
6,34.0,Summer
7,33.93,Summer
5,33.3,Summer
9,27.22,Summer
6,28.93,Summer
7,26.65,Summer
8,39.76,Summer
6,28.37,Summer
5,28.09,Summer
9,26.05,Summer
5,37.45,Summer
6,31.42,Summer
9,30.07,Summer
7,32.07,Summer
8,38.44,Summer
5,29.42,Summer
7,39.55,Summer
8,31.63,Summer
7,35.29,Summer
8,27.65,Summer
7,26.45,Summer
5,32.25,Summer
8,35.82,Summer
7,25.78,Summer
8,27.93,Summer
6,25.43,Summer
6,39.88,Summer
7,32.89,Summer
7,29.09,Summer
9,36.12,Summer
9,25.41,Summer
9,37.44,Summer
7,25.97,Summer
8,33.07,Summer
6,38.57,Summer
7,27.56,Summer
5,27.53,Summer
7,38.8,Summer
6,31.31,Summer
6,33.81,Summer
6,36.71,Summer
7,33.47,Summer
9,29.36,Summer
9,34.66,Summer
7,37.61,Summer
6,33.15,Summer
7,33.48,Summer
6,28.15,Summer
7,27.62,Summer
7,34.26,Summer
8,26.84,Summer
9,30.37,Summer
6,35.92,Summer
5,33.75,Summer
5,31.68,Summer
5,29.29,Summer
7,28.82,Summer
5,40.0,Summer
7,30.13,Summer
7,27.49,Summer
7,27.83,Summer
5,29.61,Summer
8,28.59,Summer
